cz2000_res,workplaceemp,resemp,workplacewage,resWage,emplAround,workplaceWageAround,resAround,resWageAround,landArea,lambda_nn_n,pd_commuting,pd_migration,pd_goods,pd_commuting_goods,pd_migration_goods,productivity,deficit
335,9841,9916.116,33131.7,33370.27,58124.,36746.62845812401,57801.6384,36761.19225226405,13539.68,0.9509023492665879,0.08864729733536471,0.9110646861593723,1.0000248999799466,0.08864950465129068,0.9110873716517878,0.9517610648042347,-32.57578000000001
336,50418,59574.56,31237.2,34156.05,778095.,37406.602883709566,776664.95,37320.54975654521,2607.899,0.73821913246191,0.35424935962517573,0.6436960620714569,0.9989640654441757,0.35388238047216136,0.643029235077309,0.679512843846673,395.2742999999998
337,53216,54877.22,36461.65,36889.05,3.468557e6,46862.719477327315,3.4692299899999998e6,46885.74481917375,2014.955,0.8442650702787058,0.26432655937970495,0.7347765137621608,0.9988709922987032,0.264028132658508,0.7339469454193913,0.7928486935286222,375.4118000000001
338,164319,170463.3,46182.74,46219.48,1.236451e6,46797.517522093476,1.2233002000000002e6,46777.72968895124,8272.594,0.9242241585138854,0.11363200174491457,0.8852545275576449,0.9887554982936329,0.11235426650739597,0.8753002815119537,1.2738426832521839,160.3155999999999
339,158251,155910.8,35718.07,35696.02,0.,0.,0.,0.,29804.99,0.9898159716966369,0.034564707746007076,0.9643892613183299,0.9903770342521843,0.03423209274728399,0.9551089764891023,1.0888599300085895,1000.2920000000004
340,326425,320189.5,39838.93,39723.91,0.,0.,0.,0.,36319.88,0.9788231656565878,0.05667811518820346,0.9380500700722536,0.9450746588584489,0.05356505037623126,0.8865273499656792,1.168584883142117,2009.8760000000002
341,19131,19459.24,31952.75,32751.49,567049.,37398.16071669292,567899.48,37390.38158927105,2699.358,0.8224021082015535,0.31049554925213896,0.687860624454973,0.9998031499924064,0.3104344282009109,0.6877252190858256,0.7279888699795493,147.2889
342,98251,101490,34359.88,34614.16,970831.,37142.65025361778,969608.5900000001,37120.779965499794,8462.599,0.881953492954971,0.19469982422667778,0.8029870108739845,0.9989000120035448,0.19448565675711652,0.8021037348007137,0.7908181471625744,379.75289999999995
343,24874,27931.45,35811.21,35932.07,436975.,35324.95438153213,454385.39,35892.739108696034,3849.771,0.7107020938762577,0.42975207974924684,0.5670723985564974,0.9998088082226192,0.4296699146852865,0.5669639789767138,0.8389957627196776,75.12268999999992
344,132800,132121.4,36174.73,36525.45,1.070459e6,42138.761851252595,1.1039803599999999e6,42195.514810645735,8075.846,0.9003507380333542,0.1905248574517262,0.8058276822057703,0.9975729063360533,0.19006243577738077,0.8038718629440559,0.8549645329122894,398.7340000000004
345,53374,55593.81,31608.12,32286.81,1.078658e6,41178.99925731789,1.07725277e6,41289.81555682534,8800.218,0.8754616746001038,0.20073711487292767,0.7980382408377547,0.9986547839151928,0.2004670800771828,0.7969647069598884,0.7401900313576787,136.88210000000004
346,136657,171585.3,39979.12,45115.17,2.012695e6,47542.536550326804,1.969248e6,47166.042193996895,4688.945,0.6768971467835532,0.42286923169989526,0.5746530599558274,0.9944264477058982,0.4205123479234492,0.571450201075198,0.9115603190528804,-616.7313000000004
347,20727,22622.78,32186.33,33356.22,676550.,39143.55763383342,677475.58,39055.71661852993,2887.284,0.8098646585432914,0.2831813324793221,0.7157685408843726,0.9995360492097799,0.2830499502763427,0.7154364595042146,0.7512209611672694,174.39570000000003
348,252338,253147.3,39810.61,39855.95,1.345501e6,52113.520440267224,1.32837467e6,51795.53405159225,28039.87,0.9785840101790539,0.03924212005483728,0.959320410548865,0.988595960347907,0.03879460136169972,0.9483802825479035,1.1156570562981367,1581.643
349,74187,78772.33,34906.46,36025.05,507554.,37718.04828510858,552449.66,39145.70625423246,6772.441,0.8336213997986349,0.2595659048246337,0.7375111931317346,0.9989188649079619,0.25928527901623116,0.736713843900069,0.8085731112493771,230.41089999999986
350,36660,36645.41,31469.59,31455.17,386962.,33606.76693520294,394823.61000000004,33917.911353091826,6709.994,0.927380809765807,0.13975914287892202,0.8595039077789746,0.9996965472540827,0.13971673258324838,0.8592430889580325,0.716925544972362,66.60318000000007
351,70227,71343.29,32773.49,32912.12,481668.,32179.794233185516,521224.39999999997,33284.379583680275,5367.822,0.9336550080603238,0.11362254666042938,0.8851975195682559,0.9988971317927304,0.11349723596608859,0.8842212633667702,0.7363366706315875,456.1199999999999
352,297407,295470.2,40048.44,39921.43,624306.,39998.17201303528,652718.86,40863.532501895075,11212.3,0.9403164853849897,0.1180514931600638,0.8768919648468941,0.9916628744511284,0.1170672830403566,0.8695812064431689,0.9759464343438662,501.1764999999996
353,49597,47646.74,29344.47,29673.98,668525.,36794.82460578138,663697.54,36703.09072628942,2839.844,0.8848653653954079,0.24456159197302066,0.7519635547543746,0.9986264301659468,0.2442256695477185,0.7509306802992566,0.6560295007702985,81.69440000000009
